Configuration Index,RAM (GB),Processor Speeds (GHz),Integrated Wireless,HD Size (GB),Bundled Applications,Retail Price
336,1,2.4,No,300,No,399
756,1,2.4,Yes,80,No,427
469,1,2.4,Yes,120,Yes,406
85,2,2.4,Yes,120,Yes,371
539,4,1.5,No,80,Yes,448
139,4,2.4,No,80,Yes,413
277,4,2.4,Yes,120,Yes,455
101,4,1.5,Yes,120,Yes,406
129,4,2.4,Yes,40,Yes,399
619,1,2.4,No,80,Yes,392
782,2,1.5,No,120,No,427
513,2,2.4,Yes,40,Yes,399
494,2,1.5,No,120,No,357
189,1,2.4,No,120,Yes,336
253,4,1.5,No,120,Yes,406
110,4,1.5,No,120,No,357
208,2,1.5,No,300,No,308
684,4,1.5,No,80,No,427
616,1,2.4,Yes,300,No,427
543,4,1.5,No,300,Yes,504
726,1,1.5,Yes,120,No,406
832,4,1.5,No,300,No,539
342,2,1.5,Yes,120,No,336
96,2,2.4,No,300,No,364
432,4,2.4,No,300,No,504
577,1,1.5,Yes,40,Yes,343
473,1,2.4,No,40,Yes,350
186,1,2.4,No,40,No,259
244,4,1.5,Yes,80,No,371
333,1,2.4,No,120,Yes,392
724,1,1.5,Yes,80,No,392
58,2,1.5,No,40,No,210
472,1,2.4,Yes,300,No,413
329,1,2.4,No,40,Yes,350
434,1,1.5,Yes,40,No,294
255,4,1.5,No,300,Yes,448
187,1,2.4,No,80,Yes,322
590,1,1.5,No,120,No,336
131,4,2.4,Yes,80,Yes,427
227,2,2.4,Yes,80,Yes,371
344,2,1.5,Yes,300,No,378
338,2,1.5,Yes,40,No,294
472,1,2.4,Yes,300,No,413
467,1,2.4,Yes,80,Yes,392
316,1,2,No,80,No,308
667,2,2.4,No,80,Yes,427
475,1,2.4,No,80,Yes,378
706,4,2.4,Yes,40,No,448
617,1,2.4,No,40,Yes,364
175,1,2,No,300,Yes,343
174,1,2,No,120,No,266
325,1,2.4,Yes,120,Yes,406
95,2,2.4,No,300,Yes,399
329,1,2.4,No,40,Yes,350
592,1,1.5,No,300,No,378
63,2,1.5,No,300,Yes,329
579,1,1.5,Yes,80,Yes,371
636,2,1.5,No,80,No,357
245,4,1.5,Yes,120,Yes,420
638,2,1.5,No,120,No,371
513,2,2.4,Yes,40,Yes,399
425,4,2.4,No,40,Yes,455
526,2,2.4,No,120,No,392
496,2,1.5,No,300,No,399
345,2,1.5,No,40,Yes,315
515,2,2.4,Yes,80,Yes,427
240,2,2.4,No,300,No,378
189,1,2.4,No,120,Yes,336
664,2,2.4,Yes,300,No,462
529,4,1.5,Yes,40,Yes,434
613,1,2.4,Yes,120,Yes,420
131,4,2.4,Yes,80,Yes,427
862,4,2.4,No,120,No,532
107,4,1.5,No,80,Yes,378
283,4,2.4,No,80,Yes,427
352,2,1.5,No,300,No,364
163,1,2,Yes,80,Yes,301
434,1,1.5,Yes,40,No,294
250,4,1.5,No,40,No,329
636,2,1.5,No,80,No,357
345,2,1.5,No,40,Yes,315
827,4,1.5,No,80,Yes,518
734,1,1.5,No,120,No,392
717,4,2.4,No,120,Yes,511
282,4,2.4,No,40,No,364
236,2,2.4,No,80,No,322
385,4,1.5,Yes,40,Yes,434
235,2,2.4,No,80,Yes,357
81,2,2.4,Yes,40,Yes,329
613,1,2.4,Yes,120,Yes,420
610,1,2.4,Yes,40,No,343
108,4,1.5,No,80,No,343
23,1,2,Yes,300,Yes,343
50,2,1.5,Yes,40,No,224
239,2,2.4,No,300,Yes,413
567,4,2.4,Yes,300,Yes,553
854,4,2.4,Yes,120,No,546
540,4,1.5,No,80,No,413
657,2,2.4,Yes,40,Yes,413
236,2,2.4,No,80,No,322
245,4,1.5,Yes,120,Yes,420
446,1,1.5,No,120,No,322
400,4,1.5,No,300,No,469
229,2,2.4,Yes,120,Yes,385
734,1,1.5,No,120,No,392
784,2,1.5,No,300,No,469
107,4,1.5,No,80,Yes,378
518,2,2.4,Yes,120,No,406
335,1,2.4,No,300,Yes,434
580,1,1.5,Yes,80,No,336
369,2,2.4,Yes,40,Yes,399
287,4,2.4,No,300,Yes,483
283,4,2.4,No,80,Yes,427
466,1,2.4,Yes,40,No,329
98,4,1.5,Yes,40,No,329
230,2,2.4,Yes,120,No,350
675,4,1.5,Yes,80,Yes,476
331,1,2.4,No,80,Yes,378
728,1,1.5,Yes,300,No,448
324,1,2.4,Yes,80,No,357
286,4,2.4,No,120,No,406
421,4,2.4,Yes,120,Yes,511
318,1,2,No,120,No,322
203,2,1.5,No,80,Yes,287
53,2,1.5,Yes,120,Yes,301
422,4,2.4,Yes,120,No,476
106,4,1.5,No,40,No,315
279,4,2.4,Yes,300,Yes,497
714,4,2.4,No,40,No,434
317,1,2,No,120,Yes,357
239,2,2.4,No,300,Yes,413
419,4,2.4,Yes,80,Yes,497
429,4,2.4,No,120,Yes,497
59,2,1.5,No,80,Yes,273
343,2,1.5,Yes,300,Yes,413
335,1,2.4,No,300,Yes,434
89,2,2.4,No,40,Yes,315
753,1,2.4,Yes,40,Yes,434
809,2,2.4,No,40,Yes,455
321,1,2.4,Yes,40,Yes,364
664,2,2.4,Yes,300,No,462
182,1,2.4,Yes,120,No,315
35,1,2.4,Yes,80,Yes,322
625,2,1.5,Yes,40,Yes,378
487,2,1.5,Yes,300,Yes,448
484,2,1.5,Yes,80,No,357
248,4,1.5,Yes,300,No,427
237,2,2.4,No,120,Yes,371
316,1,2,No,80,No,308
384,2,2.4,No,300,No,434
446,1,1.5,No,120,No,322
390,4,1.5,Yes,120,No,441
566,4,2.4,Yes,120,No,476
255,4,1.5,No,300,Yes,448
23,1,2,Yes,300,Yes,343
337,2,1.5,Yes,40,Yes,329
338,2,1.5,Yes,40,No,294
81,2,2.4,Yes,40,Yes,329
522,2,2.4,No,40,No,350
710,4,2.4,Yes,120,No,490
241,4,1.5,Yes,40,Yes,378
733,1,1.5,No,120,Yes,427
635,2,1.5,No,80,Yes,392
565,4,2.4,Yes,120,Yes,511
235,2,2.4,No,80,Yes,357
734,1,1.5,No,120,No,392
395,4,1.5,No,80,Yes,448
774,2,1.5,Yes,120,No,441
248,4,1.5,Yes,300,No,427
348,2,1.5,No,80,No,308
250,4,1.5,No,40,No,329
672,2,2.4,No,300,No,448
63,2,1.5,No,300,Yes,329
726,1,1.5,Yes,120,No,406
33,1,2.4,Yes,40,Yes,294
492,2,1.5,No,80,No,343
711,4,2.4,Yes,300,Yes,567
346,2,1.5,No,40,No,280
311,1,2,Yes,300,Yes,413
284,4,2.4,No,80,No,392
638,2,1.5,No,120,No,371
436,1,1.5,Yes,80,No,322
736,1,1.5,No,300,No,434
468,1,2.4,Yes,80,No,357
680,4,1.5,Yes,300,No,497
580,1,1.5,Yes,80,No,336
726,1,1.5,Yes,120,No,406
525,2,2.4,No,120,Yes,427
61,2,1.5,No,120,Yes,287
430,4,2.4,No,120,No,462
764,1,2.4,No,80,No,413
284,4,2.4,No,80,No,392
134,4,2.4,Yes,120,No,406
390,4,1.5,Yes,120,No,441
176,1,2,No,300,No,308
174,1,2,No,120,No,266
203,2,1.5,No,80,Yes,287
486,2,1.5,Yes,120,No,371
481,2,1.5,Yes,40,Yes,364
163,1,2,Yes,80,Yes,301
587,1,1.5,No,80,Yes,357
784,2,1.5,No,300,No,469
339,2,1.5,Yes,80,Yes,357
274,4,2.4,Yes,40,No,378
448,1,1.5,No,300,No,364
62,2,1.5,No,120,No,252
168,1,2,Yes,300,No,322
581,1,1.5,Yes,120,Yes,385
307,1,2,Yes,80,Yes,357
168,1,2,Yes,300,No,322
207,2,1.5,No,300,Yes,343
107,4,1.5,No,80,Yes,378
380,2,2.4,No,80,No,378
426,4,2.4,No,40,No,420
580,1,1.5,Yes,80,No,336
172,1,2,No,80,No,252
432,4,2.4,No,300,No,504
63,2,1.5,No,300,Yes,329
674,4,1.5,Yes,40,No,413
542,4,1.5,No,120,No,427
63,2,1.5,No,300,Yes,329
490,2,1.5,No,40,No,315
191,1,2.4,No,300,Yes,378
493,2,1.5,No,120,Yes,392
378,2,2.4,No,40,No,350
426,4,2.4,No,40,No,420
321,1,2.4,Yes,40,Yes,364
482,2,1.5,Yes,40,No,329
35,1,2.4,Yes,80,Yes,322
469,1,2.4,Yes,120,Yes,406
372,2,2.4,Yes,80,No,392
764,1,2.4,No,80,No,413
448,1,1.5,No,300,No,364
445,1,1.5,No,120,Yes,357
332,1,2.4,No,80,No,343
201,2,1.5,No,40,Yes,259
470,1,2.4,Yes,120,No,371
141,4,2.4,No,120,Yes,427
331,1,2.4,No,80,Yes,378
718,4,2.4,No,120,No,476
199,2,1.5,Yes,300,Yes,357
474,1,2.4,No,40,No,315
613,1,2.4,Yes,120,Yes,420
591,1,1.5,No,300,Yes,413
345,2,1.5,No,40,Yes,315
37,1,2.4,Yes,120,Yes,336
540,4,1.5,No,80,No,413
809,2,2.4,No,40,Yes,455
721,1,1.5,Yes,40,Yes,399
730,1,1.5,No,40,No,350
43,1,2.4,No,80,Yes,308
863,4,2.4,No,300,Yes,609
628,2,1.5,Yes,80,No,371
591,1,1.5,No,300,Yes,413
305,1,2,Yes,40,Yes,329
441,1,1.5,No,40,Yes,315
622,1,2.4,No,120,No,371
475,1,2.4,No,80,Yes,378
520,2,2.4,Yes,300,No,448
318,1,2,No,120,No,322
343,2,1.5,Yes,300,Yes,413
732,1,1.5,No,80,No,378
388,4,1.5,Yes,80,No,427
89,2,2.4,No,40,Yes,315
583,1,1.5,Yes,300,Yes,427
380,2,2.4,No,80,No,378
520,2,2.4,Yes,300,No,448
320,1,2,No,300,No,364
225,2,2.4,Yes,40,Yes,343
678,4,1.5,Yes,120,No,455
396,4,1.5,No,80,No,413
373,2,2.4,Yes,120,Yes,441
592,1,1.5,No,300,No,378
609,1,2.4,Yes,40,Yes,378
197,2,1.5,Yes,120,Yes,315
381,2,2.4,No,120,Yes,427
810,2,2.4,No,40,No,420
489,2,1.5,No,40,Yes,350
141,4,2.4,No,120,Yes,427
333,1,2.4,No,120,Yes,392
313,1,2,No,40,Yes,315
851,4,2.4,Yes,80,Yes,567
829,4,1.5,No,120,Yes,532
161,1,2,Yes,40,Yes,273
625,2,1.5,Yes,40,Yes,378
386,4,1.5,Yes,40,No,399
715,4,2.4,No,80,Yes,497
308,1,2,Yes,80,No,322
491,2,1.5,No,80,Yes,378
470,1,2.4,Yes,120,No,371
443,1,1.5,No,80,Yes,343
470,1,2.4,Yes,120,No,371
37,1,2.4,Yes,120,Yes,336
639,2,1.5,No,300,Yes,448
779,2,1.5,No,80,Yes,448
617,1,2.4,No,40,Yes,364
340,2,1.5,Yes,80,No,322
734,1,1.5,No,120,No,392
658,2,2.4,Yes,40,No,378
637,2,1.5,No,120,Yes,406
762,1,2.4,No,40,No,385
528,2,2.4,No,300,No,434
313,1,2,No,40,Yes,315
26,1,2,No,40,No,210
254,4,1.5,No,120,No,371
733,1,1.5,No,120,Yes,427
309,1,2,Yes,120,Yes,371
338,2,1.5,Yes,40,No,294
240,2,2.4,No,300,No,378
200,2,1.5,Yes,300,No,322
397,4,1.5,No,120,Yes,462
235,2,2.4,No,80,Yes,357
137,4,2.4,No,40,Yes,385
756,1,2.4,Yes,80,No,427
245,4,1.5,Yes,120,Yes,420
94,2,2.4,No,120,No,322
385,4,1.5,Yes,40,Yes,434
337,2,1.5,Yes,40,Yes,329
247,4,1.5,Yes,300,Yes,462
94,2,2.4,No,120,No,322
448,1,1.5,No,300,No,364
658,2,2.4,Yes,40,No,378
476,1,2.4,No,80,No,343
861,4,2.4,No,120,Yes,567
97,4,1.5,Yes,40,Yes,364
634,2,1.5,No,40,No,329
276,4,2.4,Yes,80,No,406
240,2,2.4,No,300,No,357
274,4,2.4,Yes,40,No,378
710,4,2.4,Yes,120,No,490
55,2,1.5,Yes,300,Yes,322
742,1,2,Yes,120,No,413
684,4,1.5,No,80,No,427
249,4,1.5,No,40,Yes,364
56,2,1.5,Yes,300,No,287
282,4,2.4,No,40,No,364
3,1,1.5,Yes,80,Yes,259
276,4,2.4,Yes,80,No,406
486,2,1.5,Yes,120,No,350
204,2,1.5,No,80,No,231
337,2,1.5,Yes,40,Yes,308
488,2,1.5,Yes,300,No,392
97,4,1.5,Yes,40,Yes,364
136,4,2.4,Yes,300,No,448
449,1,2,Yes,40,Yes,336
225,2,2.4,Yes,40,Yes,322
130,4,2.4,Yes,40,No,364
100,4,1.5,Yes,80,No,357
384,2,2.4,No,300,No,413
830,4,1.5,No,120,No,497
464,1,2,No,300,No,371
133,4,2.4,Yes,120,Yes,441
108,4,1.5,No,80,No,343
635,2,1.5,No,80,Yes,371
347,2,1.5,No,80,Yes,322
481,2,1.5,Yes,40,Yes,343
244,4,1.5,Yes,80,No,371
349,2,1.5,No,120,Yes,336
566,4,2.4,Yes,120,No,476
197,2,1.5,Yes,120,Yes,294
771,2,1.5,Yes,80,Yes,441
243,4,1.5,Yes,80,Yes,406
133,4,2.4,Yes,120,Yes,441
207,2,1.5,No,300,Yes,322
714,4,2.4,No,40,No,434
294,1,1.5,Yes,120,No,308
254,4,1.5,No,120,No,371
246,4,1.5,Yes,120,No,385
634,2,1.5,No,40,No,308
255,4,1.5,No,300,Yes,448
102,4,1.5,Yes,120,No,371
88,2,2.4,Yes,300,No,357
685,4,1.5,No,120,Yes,476
60,2,1.5,No,80,No,217
253,4,1.5,No,120,Yes,406
831,4,1.5,No,300,Yes,574
487,2,1.5,Yes,300,Yes,427
337,2,1.5,Yes,40,Yes,308
63,2,1.5,No,300,Yes,308
225,2,2.4,Yes,40,Yes,322
823,4,1.5,Yes,300,Yes,588
636,2,1.5,No,80,No,336
540,4,1.5,No,80,No,413
241,4,1.5,Yes,40,Yes,378
460,1,2,No,80,No,315
526,2,2.4,No,120,No,371
97,4,1.5,Yes,40,Yes,364
199,2,1.5,Yes,300,Yes,336
1,1,1.5,Yes,40,Yes,231
594,1,2,Yes,40,No,315
98,4,1.5,Yes,40,No,329
598,1,2,Yes,120,No,357
397,4,1.5,No,120,Yes,462
745,1,2,No,40,Yes,392
153,1,1.5,No,40,Yes,231
636,2,1.5,No,80,No,336
739,1,2,Yes,80,Yes,434
236,2,2.4,No,80,No,301
486,2,1.5,Yes,120,No,350
84,2,2.4,Yes,80,No,301
687,4,1.5,No,300,Yes,518
458,1,2,No,40,No,287
742,1,2,Yes,120,No,413
140,4,2.4,No,80,No,378
284,4,2.4,No,80,No,392
683,4,1.5,No,80,Yes,462
298,1,1.5,No,40,No,252
136,4,2.4,Yes,300,No,448
3,1,1.5,Yes,80,Yes,259
605,1,2,No,120,Yes,378
240,2,2.4,No,300,No,357
243,4,1.5,Yes,80,Yes,406
340,2,1.5,Yes,80,No,301
98,4,1.5,Yes,40,No,329
198,2,1.5,Yes,120,No,259
239,2,2.4,No,300,Yes,392
423,4,2.4,Yes,300,Yes,553
482,2,1.5,Yes,40,No,308
230,2,2.4,Yes,120,No,329
229,2,2.4,Yes,120,Yes,364
370,2,2.4,Yes,40,No,343
252,4,1.5,No,80,No,357
536,4,1.5,Yes,300,No,483
55,2,1.5,Yes,300,Yes,322
378,2,2.4,No,40,No,329
802,2,2.4,Yes,40,No,413
392,4,1.5,Yes,300,No,483
108,4,1.5,No,80,No,343
98,4,1.5,Yes,40,No,329
544,4,1.5,No,300,No,469
538,4,1.5,No,40,No,385
15,1,1.5,No,300,Yes,301
134,4,2.4,Yes,120,No,406
600,1,2,Yes,300,No,399
769,2,1.5,Yes,40,Yes,413
533,4,1.5,Yes,120,Yes,476
56,2,1.5,Yes,300,No,287
562,4,2.4,Yes,40,No,434
515,2,2.4,Yes,80,Yes,406
601,1,2,No,40,Yes,336
776,2,1.5,Yes,300,No,462
457,1,2,No,40,Yes,322
249,4,1.5,No,40,Yes,364
273,4,2.4,Yes,40,Yes,413
565,4,2.4,Yes,120,Yes,511
7,1,1.5,Yes,300,Yes,315
626,2,1.5,Yes,40,No,322
449,1,2,Yes,40,Yes,336
201,2,1.5,No,40,Yes,340
711,4,2.4,Yes,300,Yes,567
740,1,2,Yes,80,No,399
680,4,1.5,Yes,300,No,497
860,4,2.4,No,80,No,518
604,1,2,No,80,No,329
63,2,1.5,No,300,Yes,308
279,4,2.4,Yes,300,Yes,497
709,4,2.4,Yes,120,Yes,525
251,4,1.5,No,80,Yes,392
429,4,2.4,No,120,Yes,497
738,1,2,Yes,40,No,371
196,2,1.5,Yes,80,No,245
208,2,1.5,No,300,No,287
737,1,2,Yes,40,Yes,406
568,4,2.4,Yes,300,No,518
81,2,2.4,Yes,40,Yes,308
111,4,1.5,No,300,Yes,434
134,4,2.4,Yes,120,No,406
633,2,1.5,No,40,Yes,343
134,4,2.4,Yes,120,No,406
138,4,2.4,No,40,No,350
629,2,1.5,Yes,120,Yes,399
383,2,2.4,No,300,Yes,448
159,1,1.5,No,300,Yes,315
594,1,2,Yes,40,No,315
230,2,2.4,Yes,120,No,329
530,4,1.5,Yes,40,No,399
108,4,1.5,No,80,No,343
288,4,2.4,No,300,No,448
111,4,1.5,No,300,Yes,434
350,2,1.5,No,120,No,301
110,4,1.5,No,120,No,357
55,2,1.5,Yes,300,Yes,322
537,4,1.5,No,40,Yes,420
593,1,2,Yes,40,Yes,350
338,2,1.5,Yes,40,No,273
202,2,1.5,No,40,No,203
537,4,1.5,No,40,Yes,420
226,2,2.4,Yes,40,No,287
160,1,1.5,No,300,No,280
631,2,1.5,Yes,300,Yes,441
532,4,1.5,Yes,80,No,427
381,2,2.4,No,120,Yes,406
348,2,1.5,No,80,No,287
299,1,1.5,No,80,Yes,315
543,4,1.5,No,300,Yes,504
339,2,1.5,Yes,80,Yes,336
574,4,2.4,No,120,No,462
742,1,2,Yes,120,No,413
529,4,1.5,Yes,40,Yes,434
372,2,2.4,Yes,80,No,371
228,2,2.4,Yes,80,No,315
496,2,1.5,No,300,No,378
151,1,1.5,Yes,300,Yes,329
526,2,2.4,No,120,No,371
202,2,1.5,No,40,No,290
576,4,2.4,No,300,No,504
385,4,1.5,Yes,40,Yes,434
238,2,2.4,No,120,No,315
482,2,1.5,Yes,40,No,308
132,4,2.4,Yes,80,No,392
524,2,2.4,No,80,No,357
104,4,1.5,Yes,300,No,413
283,4,2.4,No,80,Yes,427
428,4,2.4,No,80,No,448
273,4,2.4,Yes,40,Yes,413
232,2,2.4,Yes,300,No,371
627,2,1.5,Yes,80,Yes,385
373,2,2.4,Yes,120,Yes,420
743,1,2,Yes,300,Yes,490
304,1,1.5,No,300,No,336
202,2,1.5,No,40,No,290
393,4,1.5,No,40,Yes,420
98,4,1.5,Yes,40,No,329
103,4,1.5,Yes,300,Yes,448
687,4,1.5,No,300,Yes,518
276,4,2.4,Yes,80,No,406
388,4,1.5,Yes,80,No,427
463,1,2,No,300,Yes,406
337,2,1.5,Yes,40,Yes,308
149,1,1.5,Yes,120,Yes,287
201,2,1.5,No,40,Yes,340
207,2,1.5,No,300,Yes,322
152,1,1.5,Yes,300,No,294
382,2,2.4,No,120,No,371
681,4,1.5,No,40,Yes,434
282,4,2.4,No,40,No,364
210,2,2,Yes,40,No,335
276,4,2.4,Yes,80,No,406
293,1,1.5,Yes,120,Yes,343
495,2,1.5,No,300,Yes,413
635,2,1.5,No,80,Yes,371
737,1,2,Yes,40,Yes,406
418,4,2.4,Yes,40,No,434
233,2,2.4,No,40,Yes,308
802,2,2.4,Yes,40,No,413
824,4,1.5,Yes,300,No,553
629,2,1.5,Yes,120,Yes,399
199,2,1.5,Yes,300,Yes,336
240,2,2.4,No,300,No,357
628,2,1.5,Yes,80,No,350
569,4,2.4,No,40,Yes,455
455,1,2,Yes,300,Yes,420
825,4,1.5,No,40,Yes,490
198,2,1.5,Yes,120,No,259
395,4,1.5,No,80,Yes,448
514,2,2.4,Yes,40,No,343
209,2,2,Yes,40,Yes,385
804,2,2.4,Yes,80,No,441
303,1,1.5,No,300,Yes,371
628,2,1.5,Yes,80,No,350
372,2,2.4,Yes,80,No,371
153,1,1.5,No,40,Yes,231
705,4,2.4,Yes,40,Yes,483
607,1,2,No,300,Yes,420
431,4,2.4,No,300,Yes,539
129,4,2.4,Yes,40,Yes,399
526,2,2.4,No,120,No,371
819,4,1.5,Yes,80,Yes,532
85,2,2.4,Yes,120,Yes,350
96,2,2.4,No,300,No,343
301,1,1.5,No,120,Yes,329
284,4,2.4,No,80,No,392
154,1,1.5,No,40,No,196
152,1,1.5,Yes,300,No,294
594,1,2,Yes,40,No,315
739,1,2,Yes,80,Yes,434
254,4,1.5,No,120,No,371
384,2,2.4,No,300,No,413
281,4,2.4,No,40,Yes,399
205,2,1.5,No,120,Yes,280
243,4,1.5,Yes,80,Yes,406
526,2,2.4,No,120,No,371
284,4,2.4,No,80,No,392
684,4,1.5,No,80,No,427
752,1,2,No,300,No,441
130,4,2.4,Yes,40,No,364
638,2,1.5,No,120,No,350
345,2,1.5,No,40,Yes,294
638,2,1.5,No,120,No,350
130,4,2.4,Yes,40,No,364
351,2,1.5,No,300,Yes,378
242,4,1.5,Yes,40,No,343
464,1,2,No,300,No,371
397,4,1.5,No,120,Yes,462
110,4,1.5,No,120,No,357
203,2,1.5,No,80,Yes,266
803,2,2.4,Yes,80,Yes,476
449,1,2,Yes,40,Yes,336
227,2,2.4,Yes,80,Yes,350
714,4,2.4,No,40,No,434
770,2,1.5,Yes,40,No,378
227,2,2.4,Yes,80,Yes,350
231,2,2.4,Yes,300,Yes,406
738,1,2,Yes,40,No,371
159,1,1.5,No,300,Yes,315
781,2,1.5,No,120,Yes,441
562,4,2.4,Yes,40,No,434
138,4,2.4,No,40,No,350
134,4,2.4,Yes,120,No,406
131,4,2.4,Yes,80,Yes,427
54,2,1.5,Yes,120,No,245
275,4,2.4,Yes,80,Yes,441
638,2,1.5,No,120,No,350
286,4,2.4,No,120,No,406
142,4,2.4,No,120,No,392
110,4,1.5,No,120,No,357
304,1,1.5,No,300,No,336
254,4,1.5,No,120,No,371
104,4,1.5,Yes,300,No,413
572,4,2.4,No,80,No,448
593,1,2,Yes,40,Yes,350
676,4,1.5,Yes,80,No,441
281,4,2.4,No,40,Yes,399
292,1,1.5,Yes,80,No,294
634,2,1.5,No,40,No,308
668,2,2.4,No,80,No,371
378,2,2.4,No,40,No,329
217,2,2,No,40,Yes,365
370,2,2.4,Yes,40,No,343
537,4,1.5,No,40,Yes,420
347,2,1.5,No,80,Yes,322
302,1,1.5,No,120,No,294
599,1,2,Yes,300,Yes,434
64,2,1.5,No,300,No,273
829,4,1.5,No,120,Yes,532
453,1,2,Yes,120,Yes,378
101,4,1.5,Yes,120,Yes,406
745,1,2,No,40,Yes,392
667,2,2.4,No,80,Yes,406
256,4,1.5,No,300,No,413
82,2,2.4,Yes,40,No,273
156,1,1.5,No,80,No,224
278,4,2.4,Yes,120,No,420
55,2,1.5,Yes,300,Yes,322
49,2,1.5,Yes,40,Yes,238
201,2,1.5,No,40,Yes,340
421,4,2.4,Yes,120,Yes,511
338,2,1.5,Yes,40,No,273
683,4,1.5,No,80,Yes,462
339,2,1.5,Yes,80,Yes,336
714,4,2.4,No,40,No,434
540,4,1.5,No,80,No,413
244,4,1.5,Yes,80,No,371
418,4,2.4,Yes,40,No,434
252,4,1.5,No,80,No,357
293,1,1.5,Yes,120,Yes,343
106,4,1.5,No,40,No,315
706,4,2.4,Yes,40,No,448
486,2,1.5,Yes,120,No,350
463,1,2,No,300,Yes,406
451,1,2,Yes,80,Yes,364
705,4,2.4,Yes,40,Yes,483
482,2,1.5,Yes,40,No,308
570,4,2.4,No,40,No,420
599,1,2,Yes,300,Yes,434
102,4,1.5,Yes,120,No,371
706,4,2.4,Yes,40,No,448
85,2,2.4,Yes,120,Yes,350
338,2,1.5,Yes,40,No,273
289,1,1.5,Yes,40,Yes,301
489,2,1.5,No,40,Yes,329
599,1,2,Yes,300,Yes,434
205,2,1.5,No,120,Yes,280
49,2,1.5,Yes,40,Yes,238
200,2,1.5,Yes,300,No,301
81,2,2.4,Yes,40,Yes,308
210,2,2,Yes,40,No,335
208,2,1.5,No,300,No,287
58,2,1.5,No,40,No,189
93,2,2.4,No,120,Yes,336
62,2,1.5,No,120,No,231
421,4,2.4,Yes,120,Yes,511
380,2,2.4,No,80,No,357
84,2,2.4,Yes,80,No,301
151,1,1.5,Yes,300,Yes,329
487,2,1.5,Yes,300,Yes,427
250,4,1.5,No,40,No,329
482,2,1.5,Yes,40,No,308
377,2,2.4,No,40,Yes,364
635,2,1.5,No,80,Yes,371
458,1,2,No,40,No,287
452,1,2,Yes,80,No,329
86,2,2.4,Yes,120,No,315
229,2,2.4,Yes,120,Yes,364
852,4,2.4,Yes,80,No,532
456,1,2,Yes,300,No,385
302,1,1.5,No,120,No,294
134,4,2.4,Yes,120,No,406
627,2,1.5,Yes,80,Yes,385
460,1,2,No,80,No,315
254,4,1.5,No,120,No,371
207,2,1.5,No,300,Yes,322
87,2,2.4,Yes,300,Yes,392
138,4,2.4,No,40,No,350
513,2,2.4,Yes,40,Yes,378
714,4,2.4,No,40,No,434
456,1,2,Yes,300,No,385
489,2,1.5,No,40,Yes,329
539,4,1.5,No,80,Yes,448
495,2,1.5,No,300,Yes,413
152,1,1.5,Yes,300,No,294
288,4,2.4,No,300,No,448
489,2,1.5,No,40,Yes,329
292,1,1.5,Yes,80,No,294
338,2,1.5,Yes,40,No,273
659,2,2.4,Yes,80,Yes,420
372,2,2.4,Yes,80,No,371
855,4,2.4,Yes,300,Yes,623
239,2,2.4,No,300,Yes,392
159,1,1.5,No,300,Yes,315
106,4,1.5,No,40,No,315
233,2,2.4,No,40,Yes,308
102,4,1.5,Yes,120,No,371
663,2,2.4,Yes,300,Yes,476
542,4,1.5,No,120,No,427
299,1,1.5,No,80,Yes,315
240,2,2.4,No,300,No,357
627,2,1.5,Yes,80,Yes,385
351,2,1.5,No,300,Yes,378
378,2,2.4,No,40,No,329
91,2,2.4,No,80,Yes,322
350,2,1.5,No,120,No,301
626,2,1.5,Yes,40,No,322
109,4,1.5,No,120,Yes,392
673,4,1.5,Yes,40,Yes,448
238,2,2.4,No,120,No,315
606,1,2,No,120,No,343
608,1,2,No,300,No,385
89,2,2.4,No,40,Yes,294
682,4,1.5,No,40,No,399
86,2,2.4,Yes,120,No,315
200,2,1.5,Yes,300,No,301
738,1,2,Yes,40,No,371
606,1,2,No,120,No,343
158,1,1.5,No,120,No,238
781,2,1.5,No,120,Yes,441
428,4,2.4,No,80,No,448
492,2,1.5,No,80,No,322
823,4,1.5,Yes,300,Yes,588
99,4,1.5,Yes,80,Yes,392
526,2,2.4,No,120,No,371
209,2,2,Yes,40,Yes,385
637,2,1.5,No,120,Yes,385
486,2,1.5,Yes,120,No,350
138,4,2.4,No,40,No,350
295,1,1.5,Yes,300,Yes,385
669,2,2.4,No,120,Yes,420
4,1,1.5,Yes,80,No,224
451,1,2,Yes,80,Yes,364
159,1,1.5,No,300,Yes,315
516,2,2.4,Yes,80,No,371
683,4,1.5,No,80,Yes,462
626,2,1.5,Yes,40,No,322
606,1,2,No,120,No,343
596,1,2,Yes,80,No,343
156,1,1.5,No,80,No,224
385,4,1.5,Yes,40,Yes,434
597,1,2,Yes,120,Yes,392
523,2,2.4,No,80,Yes,392
535,4,1.5,Yes,300,Yes,518
464,1,2,No,300,No,371
350,2,1.5,No,120,No,301
292,1,1.5,Yes,80,No,294
629,2,1.5,Yes,120,Yes,399
289,1,1.5,Yes,40,Yes,301
255,4,1.5,No,300,Yes,448
339,2,1.5,Yes,80,Yes,336
490,2,1.5,No,40,No,294
207,2,1.5,No,300,Yes,322
777,2,1.5,No,40,Yes,399
389,4,1.5,Yes,120,Yes,476
600,1,2,Yes,300,No,399
108,4,1.5,No,80,No,343
254,4,1.5,No,120,No,371
153,1,1.5,No,40,Yes,231
667,2,2.4,No,80,Yes,406
340,2,1.5,Yes,80,No,301
